X,Y,Gush,Helka,Shem atar rashi,mispar siduri,ktuvet,Anaf peilut mezahamet,Peelut mezahemet,Matzav Minhali,Sug tipul,Status gas karka,Drisha lemigun mivnim,Moed thilat tipul,Moed sium tipul,Taarich idkun
219500,560500,1942,172,אתר אפעה,1032,אזור צפוני בא.ת. שבמישור רותם,,מטמנה,חקירה,טרם נבדק,לא נבדק ואין חשד,לא,01/01/2007,טרם הסתיים,02.08.2022
194612,543934,39073,7,מפעל פניציה,1059,אזור תעשיה ירוחם,,זכוכית,חקירה,שאיבת עדשה ,לא נבדק ויש חשד,לא,2010,טרם הסתיים,02.08.2022
218627,551244,100116,1,מפעל פריקלס,1062,"מישור רותם, מערבית לכביש 258",,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,טרם הסתיים,02.08.2022
219000,552500,100116,1,מפעל רותם אמפרט,1064,"מישור רותם, מערבית לכביש 258",,כימית,חקירה,חפירה וסילוק,לא נבדק ואין חשד,לא,2009,טרם הסתיים,02.08.2022
180400,560250,100177,1,מפעל תרכובת ברום,1066,"רמת חובב, מערבית לכביש 40",,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,25/03/2014,טרם הסתיים,02.08.2022
180886,560344,100177,1,מפעל כימאגיס,1067,"רמת חובב, מערבית לכביש 40",,כימית,חקירה,לא נדרש,לא נבדק ויש חשד,לא,2005,טרם הסתיים,02.08.2022
169740,637821,2028,9,מפעל הקורנס,1070,רח' המדע 11,,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2018,טרם הסתיים,02.08.2022
169404,639254,2049,14,בית זיקוק אשדוד,1071,רח' הנפט 2,,אנרגיה,חקירה,חפירה וסילוק,לא נבדק ויש חשד,טרם נבדק,2005,טרם הסתיים,02.08.2022
182750,528300,39023,6,קצאא-נחל צין,1078,"כ- 4 ק""מ דרום-מערבית",,אנרגיה,חקירה,חפירה וסילוק,נבדק ולא נמצא זיהום,לא,13/05/2009,2018,02.08.2022
234628,548677,39688,1,מפעלי ים המלח,1117,מזרחית לכביש 90,,כימית,חקירה,אחר,לא נבדק ויש חשד,לא,2009,טרם הסתיים,02.08.2022
219280,571985,400364,2,מפעל לוכסמבורג,1118,רח' הקודחים 29,,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2011,טרם הסתיים,02.08.2022
182630,572960,38055,124/ד,"עמו""פ ברום",7295,רח' סעדיה מלל,,כימית,חקירה,אחר,הוכח זיהום,טרם נבדק,2010,טרם הסתיים,02.08.2022
182808,573006,38119,1,אדמה מכתשים,7353,סעדיה מלל 3,,כימית,חקירה,אחר,הוכח זיהום,טרם נבדק,2010,טרם הסתיים,02.08.2022
165900,611000,1643,11,שפך נפט - מאגר מי קולחין אשקלון,7433,חלץ,,אנרגיה,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2018,טרם הסתיים,02.08.2022
169400,637600,2299,9,אדמה אגן,7451,האשלג 3,,כימית,בשיקום,SVE,הוכח זיהום,טרם נבדק,2010,טרם הסתיים,02.08.2022
176940,627276,301,98," פקר יד פז גלוון בע""מ",52225,"פקר 12, אזור תעשיה קרית מלאכי, קריית מלאכי  מיקוד 7095100",,מתכת,יצא מכתב NFA ללא שיקום,חקירה וסילוק,לא נבדק ואין חשד,לא,2009,2021,02.08.2022
158221,615844,3067,17," פקר יד פז מפעלי גילוון בע""מ",52411,"המתכנן 28, א.ת. דרומי, אשקלון  מיקוד 7815200",,מתכת,בסקירה,טרם נבדק,לא נבדק ואין חשד,לא,2007,טרם הסתיים,02.08.2022
169965,638552,2298,"9, 10, 11","יהודה פלדות בע""מ (ערגול והתכה באשדוד)",52496,היוזמה 7 אשדוד,,מתכת,חקירה,לא נדרש,לא,לא,2020,טרם הסתיים,02.08.2022
176400,631200,2775,17,יהודה פלדות בני עייש,160476,פארק תעשיות ראם,,מתכת,חקירה,טרם נבדק,לא,לא,2010,2020,02.08.2022
190740,613670,34203,7,"בי.ג'י (ישראל) טכנולוגיות בע""מ",181218,בית גוברין,,כימית,חקירה,לא נדרש,לא,לא,2010,טרם הסתיים,02.08.2022
179834,612157,1839,64,"חד אסף מתכות בע""מ",8241,"רחוב אייר, קרית גת",,מתכת,הוגש מנגנון תעדוף לבדיקה,טרם נקבע,לא נבדק ואין חשד,לא,2016,טרם הסתיים,02.08.2022
166900,636370,467,"5,6,7",יונקס אשדוד UNEX,7277,"דרך לסקוב, אשדוד, נמל אשדוד",,קו דלק,חקירה,חפירה וסילוק,לא,לא,2018,2020,02.08.2022
167948,629864,2638,6,מעבדות שרון,52195,אזור התעשייה עד הלום בית זאביק,,אחר,חקירה,לא נדרש,לא נבדק ויש חשד,טרם נבדק,2015,טרם הסתיים,02.08.2022
170448,638286,2296,42,"מ.י.ש שווק וסחר 1986 בע""מ",8242,"החרושת 9, אשדוד",,כימית,-,חפירה וסילוק,------,------,2016,2018,02.08.2022
191581,384640,40023,2,רמת יותם,7367,רמת יותם אילת,,אחר,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2008,טרם הסתיים,02.08.2022
205650,743670,11623,4,"כרמל אולפינים בע""מ",8253,בתי הזיקוק,,אחר,בשיקום,אין צורך בטיפול,------,------,2021,טרם הסתיים,02.08.2022
204470,747287,11637,33,דור כימיקלים,2019,קצנשטיין 18 ,,כימית,בסקירה,טרם נבדק,לא נבדק ויש חשד,לא,2022,טרם הסתיים,02.08.2022
207207,742989,11620,8,אלקון- מתחם דשנים,2025,מתחם דשנים ,,כימית,שוקם ויצא מכתב NFA,חפירה וסילוק,הוכח זיהום,לא,2004,2017,02.08.2022
204900,744840,11625,10,"מתחם פטרוכימי- בז""ן",2028,"שדרות ההסתדרות, חיפה",,כימית,בשיקום,שאיבת עדשה,הוכח זיהום,לא,2020,טרם הסתיים,02.08.2022
204600,744800,11648,70,גדות ביוכימיה,2036,שדרות ההסתדרות 117,,כימית,שוקם ויצא מכתב NFA,חפירה וסילוק,הוכח זיהום,לא,2018,2019,02.08.2022
207173,743076,"11620, 11621, 11152","6,7",דשנים וחומרים כימיים,2082,אזור תעשיה קרית אתא,,כימית,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,20/05/2020,טרם הסתיים,02.08.2022
196350,743250,10728,125,חישולי כרמל,2092,"רחוב נחום 10, טירת הכרמל",,מתכת,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,02/02/2020,טרם הסתיים,02.08.2022
207060,746054,11588,13,כרומניקל,2098,"כביש 22 – עוקף קריות, הדשנים 17",,מתכת,בשיקום,חקירה וסילוק,נבדק ולא נמצא זיהום,לא,2011,2021,02.08.2022
207130,743050,"11620, 11621","8,6",סטרוקם,2102,"פארק תעשיה דשנים, חיפה",,כימית,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,02.08.2022
207736,745548,11595,4,עמק זבולון- מפעל לציפוי מתכות,2104,"רחוב הגבורה 3, קרית אתא",,מתכת,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,02.08.2022
206284,746015,"11602, 11601","2-5, 1-7",פרוטרום,2300,"רחוב השיש 25, חיפה",,כימית,בשיקום,אחר,הוכח זיהום,לא,2020,טרם הסתיים,02.08.2022
206914,746069,11548,"22,23,24",ש.ח. ציפוי אל-חלד,2304,צומת קרית אתא,,מתכת,הוגש מנגנון תעדוף לבדיקה,אחר,נבדק ולא נמצא זיהום,לא,2020,2022,02.08.2022
194525,733225,10538,12,שרפי כרמל,2308,רח' מלח הארץ עתלית,,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
205432,742963,11382,13,"אקו- אויל חץ וירומטר בע""מ",2027,"האשלג 27, חיפה",,"מט""ש",לפני סקירה,טרם נבדק,לא נבדק ויש חשד,לא,,,02.08.2022
205919,746565,11603,28,תרו- תעשייה רוקחית ,2311,"הקיטור 14, חיפה",,כימית,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
195275,708925,12348,18,גלובול רוטו שקע,2078,"הרדוף הנחלים 11, קיסריה",,אחר,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,19/05/2020,טרם הסתיים,02.08.2022
200778,737605,11738,1,"מפעל סופרסולד בע""מ",7400,"קיבוץ בית אורן, מיקוד 30044",,מתכת,בסקירה,טרם נבדק,לא נבדק ואין חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
205543,744486,11625,7,"שב""ח - שמנים בסיסיים חיפה בע""מ",8243,"שד' ההסתדרות 80, חיפה",,כימית,בשיקום,טרם נבדק,הוכח זיהום,לא,2020,טרם הסתיים,02.08.2022
204761,747682,11637,10,"סהל-אלובין בע""מ",8244,"חלוצי התעשייה 128, חיפה",,מתכת,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2020,טרם הסתיים,02.08.2022
206455,744145,11624,19,"חיפה כימיקלים בע""מ - ייצור",8245,חיפה,,כימית,שוקם ויצא מכתב NFA,חפירה וסילוק,הוכח זיהום,לא,2019,2021,02.08.2022
206420,744470,11611,11,"גדיב תעשיות פטרוכימיה בע""מ",8246,"שד' ההסתדרות, חיפה",,כימית,בשיקום,טרם נבדק,הוכח זיהום,לא,2020,טרם הסתיים,02.08.2022
202281,745257,10884,1,"פז שמנים וכימיקלים בע""מ",2105,"אל גזאלי 8,  חיפה",,אחר,חקירה,שאיבת עדשה,הוכח זיהום,לא,2014,טרם הסתיים,02.08.2022
198000,721250,11337,1,תעשיות אבן וסיד- שפיה,2024,זכרון יעקב,,אחר,שוקם ויצא מכתב NFA,חפירה וסילוק,לא נבדק ואין חשד,לא,2015,2015,02.08.2022
196140,729935,-,-,"תחנת דלק גבע כרמל, אברך ",2287,מושב גבע כרמל - תחנה פנימית מיפוי לא מדויק -  נצ מרכז יישוב,,תחנת תדלוק,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,,,02.08.2022
205542,736934,17151,51,תחנת דלק עוספיה פז,2134,"כביש ראשי, ביציאה לכיון חיפה",,תחנת תדלוק,שוקם ויצא מכתב NFA,חפירה וסילוק,הוכח זיהום,לא,2011,2018,02.08.2022
199963,629544,29755,6,"מלט הר טוב בע""מ",8254,בית שמש,,אחר,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
188859,692092,8235,"51, 52, 95, 96, 70, 71, 72, 73",טבע פלנטקס,4026,"הפלדה 2, א.ת. צפוני, נתניה",,כימית,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,2014,טרם הסתיים,02.08.2022
187220,666425,6372,"52, 53, 56-65",טבע אסיא,4176,"דנמרק 2, פתח תקווה",,כימית,בשיקום,"חפירה וסילוק, BV",הוכח זיהום,טרם נבדק,2011,טרם הסתיים,02.08.2022
187220,687740,7945,5,"אביק בע""מ",75286,התרופה 12,,כימית,לקראת שיקום,טרם נקבע,הוכח זיהום,טרם נבדק,2015,טרם הסתיים,02.08.2022
187681,667366,6365,"62, 66",מפעלי אלגון וציפוי אחים פררו (1971) בעמ,143892,גיסין 68 א.ת קרית אריה ,,מתכת,לקראת שיקום,טרם נבדק,לא נבדק ואין חשד,טרם נבדק,2018,2021,02.08.2022
188883,691566,8236,111,"אורדן תעשיות מתכת ויציקות בע""מ",8247,"הפלדה 10, נתניה",,מתכת,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
186815,666947,6369,33,"חברת רימי כימיקלים בע""מ",8248,"שנקר אריה 23, פתח תקווה",,חקלאות,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2022,טרם הסתיים,02.08.2022
189870,668690,6354,1,"אקוכם איכות הסביבה בע""מ",8249,"החרוש 6, פתח תקווה",,פסולת אחר,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2022,טרם הסתיים,02.08.2022
190224,667970,6354,13, אלטק בע''מ,67099,בן ציון גליס 20,,אחר,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,2021,טרם הסתיים,02.08.2022
188911,691819,8326,102," מפעלי ע. שנפ ושות' בע""מ",54611,שכטרמן 22,,אחר,חקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2019,טרם הסתיים,02.08.2022
188429,692193,8235,18,"דלק, אסוך, נתניה",4034,הקדר 1 נתניה,,תחנת תדלוק,בשיקום,חקירה וסילוק,לא נבדק ויש חשד,טרם נבדק,2012,,2021
208976,754501,10413,25,"טמבור בע""מ - תשלובת צבעים וכימיקלים אתר אסקר",8255,אזור תעשייה נעמן,,אחר,בשיקום,SVE,הוכח זיהום,לא,2016,טרם הסתיים,02.08.2022
241175,717017,23185,15,"ג'יי די בי אייץ וורקס בע""מ ",5009,פארק תעשיה בית השיטה,,מתכת,חקירה,טרם נקבע,לא נבדק ואין חשד,טרם נבדק,2018,טרם הסתיים,02.08.2022
218684,718062,20395,26,ארומור,5011,קיבוץ גבעת עוז,,כימית,יצא מכתב NFA ללא שיקום,לא נדרש,לא נבדק ואין חשד,לא,2018,2020,02.08.2022
207489,721670,12351,"4,5",זהר דליה,5015,קיבוץ דליה,,כימית,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2021,טרם הסתיים,02.08.2022
209700,722740,11422,10,מיברג טכנולוגיות לכבישה קרה,5019,קיבוץ עין השופט,,מתכת,חקירה,טרם נבדק,נבדק ולא נמצא זיהום,לא,2018,טרם הסתיים,02.08.2022
230464,740212,17465,1,פניציה,5074,"אזור תעשיה ציפורית, המרכבה , נצרת עילית",,אחר,שוקם ויצא מכתב NFA,חפירה וסילוק,נבדק ולא נמצא זיהום,לא,2020,2021,02.08.2022
228900,733200,16557,1,"תעשיות רכב ת. ר. בע""מ",5051,"דרך אריאל שרון 145, נוף הגליל",,מתכת,לקראת שיקום,טרם נבדק,הוכח זיהום,כן,2019,טרם הסתיים,02.08.2022
213480,736176,12311,"4,6",מפעל אלגת,5070,מערב קיבוץ אלונים,,מתכת,שוקם ויצא מכתב NFA,חפירה וסילוק,------,------,2017,הסתיים,02.08.2022
243883,743599,15244,56,אי. אר. אס. איי בע''מ,5082,א.ת קדמת גליל,,מזון,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",-,הוכח זיהום,------,,,02.08.2022
208898,754812,10413,3,חוד אסף פלדה,5115,"מתחם קרית הפלדה, אזור התעשיה הדרומי,עכו",,מתכת,בסקירה,טרם נבדק,הוכח זיהום,לא,2021,טרם הסתיים,02.08.2022
208900,755657,10412,40,צינורות המזרח התיכון,5117,באזור החולות בצפון עמק זבולון,,מתכת,יצא מכתב NFA ללא שיקום,לא נדרש,לא נבדק ואין חשד,לא,2018,2021,02.08.2022
209034,756417,10525,13,א.ע ביואקולוגיה,5119,"קיבוץ עין המפרץ, ליד אנטנות בזק אשרת",,פסולת אחר,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",לא נדרש,לא,טרם נבדק,,2013,02.08.2022
208579,756454,18041,30,"ג'י. אי. אס. גלובל אנוירומנטל סולושנס בע""מ",5120,א.ת. עכו דרום,,כימית,בשיקום,חפירה וסילוק,הוכח זיהום,טרם נבדק,2019,טרם הסתיים,02.08.2022
208629,756565,18039,"9, 34",טמבור עכו דרום,5121,"רחוב משה ברונשטיין 8, עכו",,כימית,בשיקום,"SVE, BV, חפירה וסילוק",הוכח זיהום,כן,2015,טרם הסתיים,02.08.2022
230249,758658,19159,126,כרמוכרום,5129,המלאכה 40,,מתכת,"נסתיימה סקירה, אין כרגע צורך בשיקום, יצא מכתב NFA",לא נדרש,לא נבדק ואין חשד,לא,2019,2020,02.08.2022
208069,759798,"18041 ,  18025","3,6,11,10,9,37,36,8,38",תעשיות אלקטרוכימיות,5140,"אזור תעשיה דרום, עכו",,כימית,חקירה,טרם נבדק,הוכח זיהום,כן,2022,טרם הסתיים,02.08.2022
209460,770430,18207,115,טכנולוגיות להבים,5182,"אזור תעשיה צפון, נהריה",,מתכת,חקירה,טרם נבדק,נבדק ולא נמצא זיהום,לא,2018,טרם הסתיים,02.08.2022
255271,791457,13185,9,אם.אי סולפנציה,5203,"א.ת צפוני ק""ש",,כימית,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,02.08.2022
181415,658305,6784,17,תדירגן,6316,המלאכה 21,,מתכת,לפני סקירה,טרם נבדק,לא נבדק ואין חשד,לא,2021,טרם הסתיים,02.08.2022
224000,732500,17452,23,נילית,5046,"לוי מאוריציו, מגדל העמק",,אחר,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",לא נדרש,לא נבדק ואין חשד,לא,2018,2021,02.08.2022
216561,776935,18217,20,מפעל אייברי דניסון (קוטלב חניתה),5193,קיבוץ חניתה,,אחר,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2022,טרם הסתיים,02.08.2022
253288,764060,13959,74,מודגל מתכת,7351,"א""ת צחר ראש פינה",,מתכת,"שוקם, ללא NFA",חפירה וסילוק,לא נבדק ואין חשד,לא,2018,2021,02.08.2022
252219,721393,22640,7,"אורטל יציקות מגנזיום בע""מ",8250,נווה אור,,מתכת,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2022,טרם הסתיים,02.08.2022
226484,764894,18721,11,וולקן תעשיות רכב,7349,א.ת. מגדל תפן  2495900,,אחר,חקירה,טרם נבדק,נבדק ולא נמצא זיהום,לא,2019,טרם הסתיים,02.08.2022
210242,730742,12779,5,פרומטאל טכנולוגיות ,8251,"פארק תעשייה סולתם, יקנעם",,מתכת,חקירה,טרם נבדק,הוכח זיהום,טרם נבדק,2018,טרם הסתיים,02.08.2022
226114,752674,19278,4,תדביק,5106,פארק תעשיה תרדיון משגב,,אחר,בסקירה,טרם נבדק,לא נבדק ואין חשד,טרם נבדק,2020,טרם הסתיים,02.08.2022
226664,757922,18984,187,"פרוטליקס בע""מ",8252,"סנונית 2, כרמיאל",,כימית,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",לא נדרש,לא נבדק ואין חשד,לא,2021,2021,02.08.2022
241690,765890,13689,20,תחנת דלק- דלק מירון,5163,צומת מירון על כביש 866,,תחנת תדלוק,הוגש מנגנון תעדוף לבדיקה,חפירה וסילוק,הוכח זיהום,לא,2014,,02.08.2022
215563,746332,10262,"5,6",תחנת דלק- פז שפרעם עיר,5094,בכניסה לשפרעם ממערב,,תחנת תדלוק,הוגש מנגנון תעדוף לבדיקה,חפירה וסילוק,------,------,19/05/2020,,02.08.2022
186605,670073,6547,16,מחלף צומת מורשה,6490,מחלף צומת מורשה,,אחר,בסקירה,טרם נבדק,לא נבדק ויש חשד,לא,2021,טרם הסתיים,02.08.2022
186038,662804,6492,156,משה מרק ובניו,233441,דב הוז 30 קריית אונו,,אחר,חקירה,טרם נבדק,הוכח זיהום,כן,2021,טרם הסתיים,02.08.2022
168317,635113,2064,64,אתר אחים סעידיאן,1008,רח' העבודה,,מטמנה,-,טרם נבדק,הוכח זיהום,לא,אין דרישה,,2020
181073,663082,6133,486,עמק איילון 15,7476,עמק איילון 15 תל אביב,,אחר,חקירה,חפירה וסילוק,הוכח זיהום,טרם נבדק,2000,,01.06.2021
201648,646886,5633,32,"סונול, שילת",4263,כביש בן שמן - ירושלים (צפון),,תחנת תדלוק,"שוקם, ללא NFA",לא נדרש,נבדק ולא נמצא זיהום,לא,,,2021
182366,664510,6160,448,ז'בוטינסקי 30,7535,ז'בוטינסקי 30 גבעתיים,,אחר,חקירה,-,הוכח זיהום,------,לא נבדק ויש פוטנציאל,,06.06.2021
167941,637054,466,63,חברת אוברסיז קומרס,1020,דרך תל מור,,כימית,-,SVE,הוכח זיהום,לא,01/03/2014,,2020
167927,637117,466,67,נ.צ.מ. סחר אשדוד,1021,דרך תל מור,,אנרגיה,-,חפירה וסילוק,הוכח זיהום,לא,2013,,2020
254175,789234,13148,55,טן קרית שמונה,7393,אזור התעשייה הדרומי של קריית שמונה,,תחנת תדלוק,בסקירה,-,הוכח זיהום,------,יש זיהום,,04.01.2021
178995,662271,6972,124,חובות הלבבות 35,7533,חובות הלבבות 35 תל אביב,,אחר,חקירה,-,הוכח זיהום,לא,,,21.06.2021
184322,668987,6623,456,בית רעפים קומה אחת,7526,אשכנזי 76 תל אביב,,-,בסקירה,-,הוכח זיהום,לא,,,22.06.2021
181035,663236,6133,764,המערכה 29-31,7517,המערכה 29-31 תל אביב,,אחר,בסקירה,-,הוכח זיהום,------,לא נבדק ויש פוטנציאל,,21.06.2021
178179,662935,7083,173,מתחם גבולות,8055,גבולות 2-12,,אחר,בשיקום,אחר,הוכח זיהום,כן,,,2018
179833,664000,7104,93,מתחם דרומי שוק הסיטונאי,6857,קרליבך חשמונאים מנחם בגין- חשמונאים 96,,תחנת תדלוק,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
193218,544120,,,מפעל פריגו,1060,לבדוק נצ,,כימית,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2012,,19.8.2020
217517,551631,100116,1,מפעל חיפה כימקלים (דרום),1063,"מישור רותם, מערבית לכביש 258",,כימית,לפני סקירה,חפירה וסילוק,נבדק ולא נמצא זיהום,לא,2014,,19.8.2020
179900,661450,6013,10,מתחם אגד ,6839,צומת הולץ,,מוסך אחר,לפני סקירה,אחר,הוכח זיהום,כן,2010,,2018
178437,660300,7464,6,ג'יפ סנטר,6894,תל גיבורים 15,,מוסך אחר,בשיקום,אחר,לא נבדק ויש חשד,כן,,,2018
180915,664475,7094,106,שפיר תוצרת הארץ  6-8,7197,תוצרת הארץ 6-8,,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
180942,664550,7094,105,מוטורולה - תוצרת הארץ 5,7214,תוצרת הארץ 5,,אחר,בשיקום,טרם נבדק,הוכח זיהום,טרם נבדק,,,2018
180460,664410,7106,"9,10",שפע טל 13 מבנה הברינקס,6149,שפע טל 13 מבנה הברינקס,,אחר,"שוקם, ללא NFA",טרם נבדק,הוכח זיהום,טרם נבדק,,,2018
179713,560065,100177,1,מפעל מכתשים נאות חובב,1065,"רמת חובב, מערבית לכביש 40",,כימית,לפני סקירה,לא נדרש,לא נבדק ויש חשד,לא,2014,,19.8.2020
178935,664000,7430,38,שינקין 48,6892,שנקין 48,,אחר,לפני סקירה,אחר,לא נבדק ויש חשד,כן,2011,,2018
177795,662267,7087,"16,15,155",סיני מתכות שניצלר 25-27 תל אביב,8235,שניצלר 27 25,,מוסך אחר,בשיקום,לא בוצע טיפול,נבדק ולא נמצא זיהום,לא,,,2018
177300,662417,7071,34,שמעיה 9,7196,שמעיה 9,,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ואין חשד,טרם נבדק,,,2018
177345,662461,7071,28,שמעון הצדיק,6891,שמעון הצדיק 6,,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
177258,662425,7071,39,שמעון הצדיק 17,7195,שמעון הצדיק 17,,אחר,לפני סקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
177361,662597,7017,"113,114",מתחם שמעון בן שטח,8234,שמעון בן שטח 5-7,,אחר,"שוקם, ללא NFA",לא נדרש,נבדק ולא נמצא זיהום,לא,,,2018
177570,662450,7088,112,שלמה 8 - 6,6890,שלמה 8 - 6,,אחר,"שוקם, ללא NFA",לא נדרש,נבדק ולא נמצא זיהום,לא,2011,,2018
177554,662465,7088,110,שלמה 6,8233,שלמה 6,,אחר,"שוקם, ללא NFA",לא נדרש,נבדק ולא נמצא זיהום,לא,,,2018
178336,662460,7052,68,מתחם ניסקו סטודיו  ,7117,שלמה 54,,מוסך אחר,"שוקם, ללא NFA",חפירה וסילוק,הוכח זיהום,------,,,2018
168349,636803,2451,9,מפעל אקרילן,1068,רח' האומן 18,,כימית,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",לא נדרש,לא נבדק ויש חשד,לא,2006,,19.8.2020
178910,662612,6948,"61,82,83","מתחם חזנוביץ 10-12, מפעל לגילוון מתכת",8230,שיבת ציון3-5,,אחר,"שוקם, ללא NFA",טרם נבדק,הוכח זיהום,טרם נבדק,2012,,2018
179058,662510,6975,77,ת.ד פיראטית שיבת ציון 20,8229,שיבת ציון 20,,תחנת תדלוק,לפני סקירה,-,------,------,,,2018
180180,663749,7107,318,שטיבל 8,6713,שטיבל 8,,מוסך רכב פרטי,"שוקם, ללא NFA",-,------,------,,,2018
179373,661432,6982,101,שחל 4,6886,שחל 4,,אחר,"שוקם, ללא NFA",-,------,------,,,2018
178324,660682,6991,57,שזר 7,6885,שזר  7,,תחנת תדלוק,לפני סקירה,-,------,------,,,2018
168506,636827,2451,9,מפעל ישקול,1069,רח' האומן 18,,כימית,"נסתיימה סקירה, אין צורך בשיקום, יצא מכתב NFA",לא נדרש,לא נבדק ויש חשד,לא,2007,,19.8.2020
180060,663690,7107,357,שונצינו,6883,שונצינו 5,,תחנת תדלוק,בשיקום,-,------,------,,,2018
167654,616702,1150,1,חלץ,1079,מערבית לכביש 232,,אנרגיה,בסקירה,טרם נבדק,לא נבדק ויש חשד,לא,2013,,19.8.2020
217682,747952,12202,30,תחנת דלק- דלק אעבלין (2043),5096,בכניסה לכפר אעבלין,,תחנת תדלוק,"שוקם, ללא NFA",-,------,------,,,2021
181050,663972,6150,618,שולמן 10א,7191,שולמן 10א,,אחר,"שוקם, ללא NFA",-,------,------,,,2018
177425,662625,7017,37,שדרות ירושלים 8 בנין השקם,7192,שדרות ירושלים 8,,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
177442,662293,7088,101,שדרות ירושלים 31,6881,שדרות ירושלים 31,,אחר,"שוקם, ללא NFA",אחר,הוכח זיהום,כן,2011,,2018
183021,572706,-,-,מפעל מכתשים באר שבע,1119,מזרחית לרח' מלל סעדיה,,כימית,בסקירה,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2007,,2.9.2020
176626,660050,6999,93,ת.ד. דלק פרבר,6878,שדרות ירושליים 210,,תחנת תדלוק,בשיקום,טרם נבדק,לא נבדק ואין חשד,טרם נבדק,,,2018
180415,664130,7109,143,שדרות יהודית 26א,7187,שדרות יהודית 26א,,אחר,"שוקם, ללא NFA",טרם נבדק,הוכח זיהום,טרם נבדק,2001,,2018
180310,664143,7109,126,שדרות יהודית 14,7188,שדרות יהודית 14,,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
176858,660792,7047,136,"ת.ד פיראטית שדרות חב""ד 31",8228,"שדרות חב""ד 31 ",,תחנת תדלוק,לפני סקירה,אחר,הוכח זיהום,כן,2013,,2018
180875,663708,7096,31,שדרות ההשכלה 9,6880,"שדרות ההשכלה 9, תל אביב",,אחר,"שוקם, ללא NFA",טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,2018
180880,664050,7095,62, סנטרל פארק,8227,שדרות ההשכלה 17,,אחר,"שוקם, ללא NFA",אחר,לא נבדק ואין חשד,כן,,,2018
180721,665063,6110,438,דרך מנחם בגין 146,7015,מנחם בגין 146,,תחנת תדלוק,בסקירה,אחר,לא נבדק ואין חשד,כן,2007,,2018
179786,668719,6634,240,פז שירותי תעופה,6879,שדה דב ,,תחנת תדלוק,בשיקום,אחר,לא נבדק ויש חשד,כן,2007,,2018
177393,662042,7076,4,סונול המזרקה יפו- שד ירושלים ,78266,שד ירושלים  40,,תחנת תדלוק,בשיקום,אחר,הוכח זיהום,כן,2013,,2021
