X,Y,Gush,Helka,Shem atar rashi,mispar siduri,ktuvet,Anaf peilut mezahamet,Peelut mezahemet,Matzav Minhali,Sug tipul,Status gas karka,Drisha lemigun mivnim,Moed thilat tipul,Moed sium tipul,Taarich idkun
180917,665254,6110,"404, 405",מגדל הצעירים,8080,דרך מנחם בגין 158,,תחנת תדלוק,"שוקם, ללא NFA",-,------,------,,2007,2018
180821,665225,6110,377,בית קרדן,6631,דרך מנחם בגין 154,,תחנת תדלוק,לפני סקירה,חקירה וסילוק,הוכח זיהום,טרם נבדק,2010,2007,2018
178304,663134,7421,"1,2,4,5,12,21,9,18,26","מתחם מגדל ליבר ת""א",6795,דרך יפו 3-5,,אחר,"שוקם, ללא NFA",חקירה וסילוק,הוכח זיהום,לא,2012,2014,2018
215100,635200,30449,"66,80",מתחם הגולף,7418,"בין הרחובות אופיר, החושן וברקת",,מטמנה,בסקירה,חפירה וסילוק,הוכח זיהום,כן,2013,,
181651,663245,6164,321,עמיגור,8075,"דרך השלום פינת ברונפלד שמעון 16-18, דרך השלום 98-100",,אחר,"שוקם, ללא NFA",SVE,הוכח זיהום,לא,2011,2010,2018
182508,661420,6141,63,ת.ד. פז זיו און,6913,דרך הטיסים 126,,תחנת תדלוק,בשיקום,חפירה וסילוק,הוכח זיהום,לא,2010,2013,2018
181900,665780,6109,"24,25,26,27,28,29,65,332 ",בית ספר הגפן,7525, בנימין 28 רמת גן,,אחר,-,"חפירה וסילוק
BV",הוכח זיהום,לא,14/02/2021,2010,07.07.2021
188252,680913,8042,45,"בני ציון
",7462,בני ציון,,-,בסקירה,SVE,הוכח זיהום,לא,2003,2014,20.06.2021
184013,668745,6637,398,דילה רינה יוסף 19,7007,דילה רינה יוסף 19,,אחר,"שוקם, ללא NFA",טרם נבדק,------,------,,2013,2018
179030,667137,6963,4,דיזינגוף 336,6620,דיזינגוף 336,,אחר,"שוקם, ללא NFA",-,------,------,,2020,2018
186700,660550,"6231, 6487","6231: 115-119, 122-124, 129-131, 137,138,142-144,150 ; 6487: 93-109, 113-117, 119,125",פרדס בחיסכון מערב- תל השומר,7430,"מצפון לכביש 461 , דרומית ומזרחית למחנה תל השומר, ממערב לשטח חקלאי השייך לגבולות המוניציפליים של קריית אונו",,חקלאות,יצא מכתב NFA ללא שיקום,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,2011,,
179624,663432,6950,16,דוד חכמי 19,8068,דוד חכמי 19,,אחר,לפני סקירה,טרם נבדק,הוכח זיהום,טרם נבדק,2012,2013,2018
179675,664709,6111,686,ת.ד. פז נאות אביב,8065,דובנוב 7,,תחנת תדלוק,בשיקום,חפירה וסילוק,הוכח זיהום,לא,2009,2012,2018
184180,669570,6623,887,דבורה הנביאה 41 א,6616,דבורה הנביאה 41 א,,אחר,"שוקם, ללא NFA",SVE,הוכח זיהום,לא,2008,2014,2018
180469,663997,7109,412,גרשון שץ 46,8061,גרשון שץ 46,,אחר,לפני סקירה,-,------,------,,2018,2018
180228,664025,7109,361,גרשון שץ 14,8058,גרשון שץ 14,,אחר,"נסתיימה סקירה, אין כרגע צורך בשיקום, ללא מכתב NFA",SVE,הוכח זיהום,לא,2006,2018,2018
178362,660941,6991,"78,77,70,71","מתחם השירותים העירונים תב""ע 3942 גדנ""ע",8056,"גרוסמן מאיר 4-10 , תל גיבורים 2-4",,מוסך אחר,בשיקום,טרם נבדק,הוכח זיהום,לא,2010,2008,2018
187300,660490,"6486, 6487, 6489",6486 בשלמותו; 6489 בשלמותו; 6487 בחלקו,פרדס בחיסכון מזרח- תל השומר,7431,"שכונת צומת סביון, מצפון לדרך 461 וממערב לכביש 462, כ- 11.3 ק""מ מזרחית לחוף הים",,חקלאות,יצא מכתב NFA ללא שיקום,טרם נבדק,לא נבדק ויש חשד,טרם נבדק,,,
178804,660955,6988,4,סונול משגב,130206,דרך בן צבי 96-94,,תחנת תדלוק,בשיקום,חפירה וסילוק,הוכח זיהום,לא,2009,2012,2021
178976,662266,6972,126,בן אשר 6,6591,בן אשר 6,,אחר,לפני סקירה,SVE,הוכח זיהום,לא,2011,2020,2018
185773,661199,6176; 6232; 6233,"6232: 1,5,11-13,16-17,19-24,37-38,57-59,61,66-67; 6233: 4-9; חלקי 26:6176; חלקי 6232: 3,4,6,7,9,14,25-28,32,35,36,39-41,44-46,62,62-65; חלקי 6233: 3,46",תמל 1023- תל השומר,7437,"שטח תכנית ""תל השומר מזרח"" (ר""ג/1849) ממזרח לבית החולים שיבא וממערב לבסיס הצבאי תל השומר ומש""א 7000 תה""ש",,חקלאות,חקירה,אחר,הוכח זיהום,כן,,2011,
208388,751203,10421; 10424,"10421: , 197-198, 200, 201, 203, 204; 10424: 37-43, 59, 58, 57, 55","מתחם לכיש, קרית ים",7438,"רחוב לכיש, קריית ים",,מתכת,יצא מכתב NFA ללא שיקום,טרם נבדק,הוכח זיהום,טרם נבדק,,,04.02.2021
180480,664066,7109,322,בית הלל,6581,בית הלל 27 (לפי 28),,אחר,"שוקם, ללא NFA",חקירה וסילוק,הוכח זיהום,טרם נבדק,2012,2008,2018
180560,664060,7109,415,בית הלל,6580,בית הלל 25-לפי בית הלל 24,,אחר,"שוקם, ללא NFA",SVE,הוכח זיהום,לא,2007,2010,2018
180360,664100,7109,134,בית הלל,6579,בית הלל 13,,אחר,"שוקם, ללא NFA",אין צורך בטיפול,הוכח זיהום,טרם נבדק,2013,2008,2018
